n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
0,             0,               0,              4,         0,           0,          1,         1,           0,          0,          0,            0,           0
1,             0,               0,              0,         0,           0,          0,         1,           0,          1,          0,            0,           0
2,             1,               0,              2,         1,           2,          5,         4,           0,          1,          1,            0,           0
3,             3,               2,              1,         3,           2,          1,        17,           4,          3,          3,            2,           1
4,             6,               4,              1,         4,           4,          1,        20,           4,          2,          6,            4,           1
5,             9,               6,              1,         6,           6,          2,        34,           8,          5,         10,            6,           1
6,            12,               8,              1,         9,          11,          2,        50,          13,          5,         15,            8,           2
7,            18,              13,              3,        14,          12,          3,        59,          16,          6,         21,           13,           2
8,            19,              13,              2,        21,          20,          3,        66,          16,         13,         28,           13,           2
9,            27,              20,              2,        24,          18,          3,        85,          22,          6,         36,           20,           4
