    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
    0,             0,               0,              2,         0,           0,          2,         1,           0,          0,          0,            0,           0
    1,             0,               0,              0,         0,           0,          0,         1,           0,          0,          0,            0,           0
    2,             1,               1,              0,         1,           1,          4,         4,           1,          0,          1,            1,           4
    3,             3,               3,              0,         3,           3,          8,        18,           4,          1,          3,            3,           0
    4,             4,               3,              0,         6,           7,         19,        21,           5,          0,          6,            3,           0
    5,             5,               3,              0,        10,          12,          0,        33,           9,          6,         10,            3,           0
    6,             7,               4,              0,        11,          12,          0,        48,          14,          6,         15,            4,           0
    7,            10,               6,              1,        13,          14,          0,        56,          16,          1,         21,            6,           0
    8,            11,               6,              1,        20,          22,          0,        61,          18,          0,         28,            6,           0
    9,            12,               6,              1,        28,          31,          0,        74,          23,          0,         36,            6,           0
   10,            13,               6,              1,        37,          41,          0,        91,          28,          0,         45,            6,           0
   11,            15,               7,              1,        38,          41,          0,       108,          33,          0,         55,            7,           0
   12,            16,               7,              1,        49,          53,          0,       124,          38,          0,         66,            7,           0
   13,            18,               8,              1,        50,          53,          0,       128,          43,          1,         78,            8,           1
   14,            19,               8,              1,        63,          67,          0,       141,          44,          1,         91,            8,           1
   15,            20,               8,              1,        77,          82,          0,       145,          49,          0,        105,            8,           1
   16,            22,               9,              1,        78,          82,          0,       157,          51,          4,        120,            9,           1
   17,            25,              11,              1,        80,          84,          0,       174,          57,          1,        136,           11,           1
   18,            26,              11,              1,        97,         102,          0,       189,          64,          1,        153,           11,           1
   19,            27,              11,              1,       115,         121,          1,       203,          70,          2,        171,           11,           1
   20,            29,              12,              3,       116,         121,          1,       227,          76,          3,        190,           12,           2
   21,            30,              12,              2,       136,         142,          1,       247,          80,          1,        210,           12,           3
   22,            31,              12,              3,       157,         164,          1,       259,          88,          3,        231,           12,           2
   23,            33,              13,              2,       158,         164,          1,       278,          95,          2,        253,           13,           2
   24,            34,              13,              1,       181,         188,          1,       304,          98,          1,        276,           13,           2
   25,            35,              13,              2,       205,         213,          1,       309,         103,          1,        300,           13,           2
   26,            36,              13,              1,       230,         239,          1,       312,         109,          1,        325,           13,           2
   27,            37,              13,              1,       256,         266,          1,       317,         115,          2,        351,           13,           2
   28,            41,              16,              1,       211,         215,          1,       340,         116,          1,        378,           16,           2
   29,            43,              17,              2,       235,         242,          1,       350,         120,          1,        406,           17,           2
   30,            44,              17,              2,       264,         272,          1,       359,         126,          4,        435,           17,           3
   31,            45,              17,              2,       294,         303,          1,       368,         130,          1,        465,           17,           3
   32,            46,              17,              2,       325,         335,          1,       381,         133,          1,        496,           17,           3
   33,            49,              19,              3,       297,         304,          1,       398,         141,          1,        528,           19,           3
   34,            51,              20,              2,       328,         336,          2,       420,         146,          3,        561,           20,           3
   35,            55,              23,              2,       302,         307,          1,       436,         155,          1,        595,           23,           4
   36,            56,              23,              2,       337,         343,          1,       459,         162,          1,        630,           23,           3
   37,            57,              23,              2,       373,         380,          1,       474,         168,          1,        666,           23,           4
   38,            59,              24,              2,       374,         380,          1,       491,         179,          1,        703,           24,           4
   39,            60,              24,              2,       412,         419,          1,       514,         181,          1,        741,           24,           4
   40,            61,              24,              2,       451,         459,          1,       538,         189,          3,        780,           24,           4
   41,            62,              24,              2,       491,         500,          1,       553,         197,          3,        820,           24,           4
   42,            64,              25,              2,       492,         500,          1,       579,         204,          3,        861,           25,           5
   43,            67,              27,              2,       494,         502,          1,       600,         209,          3,        903,           27,           5
   44,            69,              28,              2,       535,         543,          1,       616,         219,          3,        946,           28,           5
   45,            70,              28,              2,       579,         588,          2,       636,         225,          3,        990,           28,           6
   46,            71,              28,              2,       624,         634,          2,       658,         233,          3,       1035,           28,           6
   47,            73,              29,              2,       625,         634,          2,       677,         241,          3,       1081,           29,           6
   48,            76,              31,              3,       627,         636,          2,       709,         245,          4,       1128,           31,           6
   49,            77,              31,              4,       675,         685,          2,       716,         250,          3,       1176,           31,           6
   50,            78,              31,              3,       724,         735,          2,       730,         256,          4,       1225,           31,           7
   51,            80,              32,              3,       725,         735,          2,       738,         262,          2,       1275,           32,           8
   52,            82,              33,              3,       775,         786,          2,       743,         268,          2,       1326,           33,           8
   53,            83,              33,              3,       827,         839,          2,       755,         273,          2,       1378,           33,           7
   54,            84,              33,              3,       828,         839,          2,       761,         281,          2,       1431,           33,           8
   55,            85,              33,              3,       882,         894,          2,       774,         284,          2,       1485,           33,           8
   56,            86,              33,              3,       937,         950,          2,       794,         289,          4,       1540,           33,           8
   57,            87,              33,             14,       993,        1007,          3,       803,         295,          5,       1596,           33,          10
   58,            88,              33,              3,      1050,        1065,          3,       822,         296,         13,       1653,           33,           9
   59,            89,              33,              4,      1108,        1124,          4,       826,         303,          5,       1711,           33,           9
   60,            90,              33,              4,      1167,        1184,          3,       843,         310,          3,       1770,           33,          10
   61,            91,              33,              8,      1227,        1245,          3,       853,         316,          4,       1830,           33,          10
   62,            92,              33,              3,      1288,        1307,          3,       868,         319,          2,       1891,           33,        3287
   63,            93,              33,              3,      1350,        1370,          4,       879,         326,          4,       1953,           33,          10
   64,            95,              34,              3,      1291,        1308,          4,       894,         329,          4,       2016,           34,          11
   65,            96,              34,              3,      1355,        1373,          3,       912,         336,          4,       2080,           34,          11
   66,            97,              34,              3,      1420,        1439,          4,       931,         346,          2,       2145,           34,          14
   67,            98,              34,              3,      1486,        1506,          4,       949,         354,          2,       2211,           34,          12
   68,            99,              34,              3,      1487,        1506,          3,       970,         360,          4,       2278,           34,          13
   69,           100,              34,              4,      1555,        1575,          4,       986,         369,          3,       2346,           34,          13
   70,           101,              34,              3,      1624,        1645,          4,      1007,         376,          2,       2415,           34,          12
   71,           102,              34,              4,      1694,        1716,          4,      1029,         384,          5,       2485,           34,          13
   72,           103,              34,              3,      1765,        1788,          4,      1049,         394,          4,       2556,           34,          14
   73,           104,              34,              3,      1837,        1861,          4,      1067,         402,          2,       2628,           34,          14
   74,           105,              34,              3,      1910,        1935,          4,      1091,         408,          5,       2701,           34,          14
   75,           106,              34,              3,      1984,        2010,          5,      1111,         416,          3,       2775,           34,          15
   76,           107,              34,              3,      2059,        2086,          5,      1126,         427,          4,       2850,           34,          15
   77,           108,              34,              3,      2135,        2163,          5,      1144,         436,          4,       2926,           34,          15
   78,           109,              34,              3,      2212,        2241,          5,      1175,         438,          4,       3003,           34,          16
   79,           111,              35,              3,      2213,        2241,          5,      1198,         447,          6,       3081,           35,          16
   80,           112,              35,              4,      2292,        2321,          5,      1224,         455,          4,       3160,           35,          16
   81,           113,              35,              5,      2372,        2402,          5,      1242,         463,          4,       3240,           35,          17
   82,           114,              35,              4,      2453,        2484,          5,      1260,         474,          5,       3321,           35,          17
   83,           115,              35,              3,      2535,        2567,          5,      1280,         482,          3,       3403,           35,          18
   84,           117,              36,              4,      2536,        2567,          6,      1308,         488,          4,       3486,           36,          18
   85,           118,              36,              4,      2620,        2652,          6,      1328,         496,          4,       3570,           36,          19
   86,           121,              38,              4,      2621,        2652,          6,      1354,         503,          5,       3655,           38,          20
   87,           122,              38,              4,      2707,        2739,          6,      1376,         511,          9,       3741,           38,          26
   88,           123,              38,              4,      2794,        2827,          6,      1395,         520,          5,       3828,           38,          59
   89,           124,              38,              5,      2882,        2916,          7,      1417,         528,          4,       3916,           38,          20
   90,           125,              38,              4,      2971,        3006,          7,      1435,         537,          5,       4005,           38,          62
   91,           126,              38,              4,      3061,        3097,          7,      1457,         544,          6,       4095,           38,          21
   92,           127,              38,              8,      3152,        3189,          7,      1484,         554,         20,       4186,           38,          83
