   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              6,         0,           0,          6,         1,           0,          1,          0,            0,           0
   1,             0,               0,              0,         0,           0,          2,         1,           0,          0,          0,            0,           1
   2,             1,               0,              7,         1,           2,          2,         4,           0,          1,          1,            0,           0
   3,             3,               2,              0,         3,           2,          0,        17,           4,         14,          3,            2,           4
   4,             4,               2,              0,         6,           6,          0,        21,           4,          1,          6,            2,           0
   5,             5,               2,              1,        10,          11,          0,        33,           8,          1,         10,            2,           0
   6,             6,               2,              1,        15,          17,          1,        47,          13,          2,         15,            2,           0
   7,             7,               2,              1,        16,          17,          1,        52,          15,          1,         21,            2,           0
   8,             8,               2,              1,        23,          25,          0,        59,          16,          1,         28,            2,           0
   9,             9,               2,              1,        31,          34,          1,        72,          21,          1,         36,            2,           0
  10,            10,               2,              1,        40,          44,          1,        87,          26,          1,         45,            2,           3
  11,            11,               2,              1,        50,          55,          2,       102,          31,          2,         55,            2,           0
  12,            13,               3,              1,        51,          55,          1,       119,          38,          2,         66,            3,           0
  13,            14,               3,              1,        63,          68,          1,       127,          40,          2,         78,            3,           1
  14,            15,               3,              1,        64,          68,          2,       133,          44,          5,         91,            3,           1
  15,            16,               3,              1,        78,          83,          1,       143,          46,          2,        105,            3,           1
  16,            17,               3,              2,        93,          99,          4,       151,          49,          6,        120,            3,           2
  17,            19,               4,             22,        94,          99,         10,       165,          56,         14,        136,            4,           4
  18,            20,               4,              5,       111,         117,          4,       185,          60,          9,        153,            4,           3
  19,            21,               4,              4,       129,         136,         10,       201,          66,          7,        171,            4,           2
  20,            23,               5,              3,       130,         136,          3,       215,          75,          7,        190,            5,           3
  21,            25,               6,              3,       149,         156,          6,       236,          79,         20,        210,            6,           3
  22,            26,               6,              6,       170,         178,          2,       257,          84,          2,        231,            6,           1
  23,            27,               6,              1,       192,         201,          2,       271,          92,          2,        253,            6,           1
  24,            28,               6,              1,       193,         201,          4,       292,          98,          5,        276,            6,           4
  25,            29,               6,              2,       217,         226,          5,       299,         102,          8,        300,            6,           5
  26,            31,               7,              7,       218,         226,         12,       311,         106,         18,        325,            7,           6
  27,            33,               8,             11,       243,         252,         10,       321,         110,          9,        351,            8,           5
  28,            36,              10,              2,       245,         254,          5,       329,         117,          4,        378,           10,           4
  29,            37,              10,              2,       273,         283,          9,       343,         119,          6,        406,           10,           4
  30,            38,              10,              2,       302,         313,          3,       353,         124,          6,        435,           10,           5
  31,            40,              11,              3,       303,         313,          3,       365,         127,          3,        465,           11,           3
  32,            41,              11,              2,       334,         345,          3,       376,         132,          2,        496,           11,           3
  33,            42,              11,              1,       366,         378,          3,       391,         139,          4,        528,           11,          36
  34,            43,              11,              2,       399,         412,          4,       410,         145,          3,        561,           11,           3
  35,            45,              12,              2,       400,         412,          4,       425,         154,          3,        595,           12,           3
  36,            46,              12,              2,       435,         448,          4,       448,         158,          3,        630,           12,           3
  37,            47,              12,              2,       471,         485,         24,       467,         164,          3,        666,           12,           4
  38,            48,              12,              2,       508,         523,          5,       486,         172,          5,        703,           12,           4
  39,            49,              12,              2,       546,         562,          6,       506,         179,          5,        741,           12,           5
  40,            51,              13,              2,       547,         562,         19,       523,         189,          6,        780,           13,           5
  41,            52,              13,              4,       587,         603,         24,       542,         195,         13,        820,           13,           8
  42,            53,              13,              3,       628,         645,          3,       560,         202,         14,        861,           13,          10
  43,            54,              13,             14,       670,         688,          4,       581,         208,          9,        903,           13,           9
  44,            55,              13,             14,       713,         732,          4,       604,         213,          8,        946,           13,           2
  45,            56,              13,              9,       757,         777,          4,       625,         219,          9,        990,           13,           2
  46,            57,              13,             15,       802,         823,          4,       638,         231,         10,       1035,           13,           2
  47,            59,              14,             16,       803,         823,          5,       662,         238,          9,       1081,           14,           2
  48,            61,              15,             16,       849,         870,          5,       690,         242,         14,       1128,           15,           3
  49,            62,              15,              5,       897,         919,          6,       697,         248,         33,       1176,           15,           3
  50,            63,              15,              4,       946,         969,          6,       706,         255,         11,       1225,           15,           3
  51,            65,              16,              9,       947,         969,          3,       716,         261,          8,       1275,           16,           2
  52,            67,              17,              2,       997,        1020,          3,       735,         263,          7,       1326,           17,           3
