 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 0,             0,               0,              1,         0,           0,          0,         1,           0,          1,          0,            0,           0
 1,             0,               0,              1,         0,           0,          0,         1,           0,          0,          0,            0,           0
 2,             1,               0,              0,         1,           2,          1,         4,           0,          1,          1,            0,           0
 3,             2,               0,              0,         3,           5,          1,        15,           3,          2,          3,            0,           0
 4,             3,               0,              0,         6,           9,          2,        19,           4,          2,          6,            0,           1
 5,             4,               0,              0,        10,          14,          2,        31,           8,          4,         10,            0,           1
 6,             6,               1,              1,         9,          10,          2,        45,          13,          4,         15,            1,           1
 7,            10,               4,              1,        12,          12,          2,        53,          15,          7,         21,            4,           2
 8,            11,               4,              1,        19,          20,          3,        61,          17,          4,         28,            4,           2
 9,            12,               4,              2,        27,          29,          3,        74,          22,          5,         36,            4,           2
10,            13,               4,              1,        28,          29,          3,        89,          27,          8,         45,            4,           2
