    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
    0,             0,               0,              1,         0,           0,          0,         1,           0,          0,          0,            0,           0
    1,             0,               0,              0,         0,           0,          0,         1,           0,          0,          0,            0,           0
    2,             1,               0,              0,         1,           2,          0,         4,           0,          0,          1,            0,           0
    3,             2,               0,              0,         3,           5,          6,        15,           3,          0,          3,            0,           0
    4,             5,               3,              4,         6,           3,          5,        21,           5,          0,          6,            3,           3
    5,             7,               4,              0,         7,           6,          0,        36,           8,          5,         10,            4,           0
    6,            12,               9,              0,        12,           8,          0,        52,          13,          6,         15,            9,           0
    7,            18,              15,              0,        15,           7,          0,        58,          15,          0,         21,           15,           0
    8,            25,              21,              0,        16,          12,          0,        67,          18,          0,         28,           21,           0
    9,            28,              23,              0,        20,          18,          0,        86,          23,          0,         36,           23,           0
   10,            35,              29,              0,        23,          16,          0,        99,          28,          0,         45,           29,           0
   11,            36,              29,              0,        33,          27,          0,       120,          31,          0,         55,           29,           0
   12,            46,              38,              0,        36,          29,          0,       140,          38,          1,         66,           38,           1
   13,            50,              41,              0,        31,          24,          0,       149,          40,          1,         78,           41,           1
   14,            56,              46,              0,        35,          25,          0,       158,          46,          1,         91,           46,           1
   15,            60,              49,              0,        42,          36,          0,       172,          46,          1,        105,           49,           1
   16,            69,              57,              0,        44,          33,          0,       184,          54,          1,        120,           57,           1
   17,            72,              59,              0,        52,          43,          0,       204,          59,          1,        136,           59,           1
   18,            87,              73,              1,        67,          29,          1,       229,          63,          1,        153,           73,           1
   19,            97,              82,              1,        57,          42,          0,       250,          70,          1,        171,           82,           1
   20,           101,              85,              1,        66,          53,          1,       266,          75,          2,        190,           85,           3
   21,           112,              95,              1,        74,          62,          1,       288,          83,          3,        210,           95,           3
   22,           113,              95,              2,        95,          84,          2,       308,          85,          9,        231,           95,           2
   23,           116,              97,              1,        91,          69,          1,       321,          92,          2,        253,           97,           2
   24,           126,             106,              1,        85,          67,          1,       351,         101,          2,        276,          106,           4
   25,           147,             126,              2,        94,          74,          1,       362,         106,          7,        300,          126,           4
   26,           159,             137,              2,        88,          63,          1,       380,         107,          3,        325,          137,           5
   27,           176,             153,              3,        95,          67,          1,       389,         114,          3,        351,          153,           6
   28,           182,             158,              3,        99,          82,          3,       403,         118,          3,        378,          158,           6
   29,           189,             164,              3,       103,          86,          1,       412,         125,          3,        406,          164,           6
   30,           211,             185,              3,       106,          71,          1,       438,         124,          3,        435,          185,           6
   31,           241,             215,              4,       170,         111,          2,       441,         131,          3,        465,          215,           7
   32,           268,             241,              4,       142,          66,          2,       461,         137,          5,        496,          241,           7
   33,           294,             266,              4,       144,          84,          2,       484,         144,          3,        528,          266,           7
   34,           318,             289,              5,       171,         102,          4,       498,         153,          3,        561,          289,           8
   35,           346,             316,              5,       145,          80,          2,       524,         158,          3,        595,          316,         121
   36,           381,             350,              3,       166,         102,          1,       559,         164,          3,        630,          350,           5
   37,           397,             365,              3,       183,         139,          1,       586,         169,          3,        666,          365,           6
   38,           431,             398,              3,       176,         121,          1,       604,         180,          4,        703,          398,           6
   39,           469,             436,              4,       184,         101,          1,       622,         187,          2,        741,          436,           6
   40,           497,             463,              4,       182,         112,          1,       646,         191,          2,        780,          463,           7
   41,           512,             477,              4,       182,         120,          1,       664,         199,          2,        820,          477,           7
   42,           514,             478,              4,       214,         158,          1,       702,         207,          2,        861,          478,           7
   43,           519,             482,              5,       217,         165,          2,       717,         213,          2,        903,          482,           8
   44,           531,             493,              7,       204,         148,          2,       738,         219,          3,        946,          493,           8
   45,           575,             537,              4,       235,         125,          2,       772,         226,          2,        990,          537,          55
   46,           618,             579,              6,       230,          97,          2,       788,         231,          3,       1035,          579,           9
   47,           633,             593,              5,       252,         161,          2,       799,         239,          3,       1081,          593,          15
   48,           652,             611,              5,       225,         133,          2,       839,         251,          4,       1128,          611,           9
   49,           696,             654,              5,       252,         133,          2,       858,         256,          4,       1176,          654,           5
   50,           723,             680,              5,       221,         126,          4,       875,         259,          9,       1225,          680,           4
   51,           753,             709,              6,       291,         184,          2,       889,         267,          4,       1275,          709,           4
   52,           804,             759,              6,       283,         146,          2,       912,         269,          5,       1326,          759,           4
   53,           855,             809,              6,       309,         192,          2,       927,         274,          4,       1378,          809,           4
   54,           905,             858,              7,       314,         154,          2,       940,         282,          3,       1431,          858,           4
   55,           927,             879,              7,       277,         166,          2,       943,         286,          3,       1485,          879,           5
   56,           973,             924,              7,       324,         211,          2,       974,         293,          3,       1540,          924,           5
   57,          1026,             976,              8,       358,         217,          2,       991,         298,          3,       1596,          976,           5
   58,          1036,             985,              8,       312,         183,          2,      1001,         305,          4,       1653,          985,           5
   59,          1091,            1039,              8,       375,         179,          2,      1014,         311,          7,       1711,         1039,           5
   60,          1134,            1081,              8,       351,         194,          2,      1036,         311,          5,       1770,         1081,           5
   61,          1162,            1108,              9,       279,         179,          3,      1056,         317,          5,       1830,         1108,           5
   62,          1198,            1143,             10,       323,         185,          2,      1062,         324,          4,       1891,         1143,        2651
   63,          1216,            1160,              9,       322,         227,          3,      1084,         330,          4,       1953,         1160,           6
   64,          1235,            1178,              9,       336,         243,          3,      1098,         337,          6,       2016,         1178,           6
   65,          1293,            1235,             10,       387,         219,          3,      1127,         345,          5,       2080,         1235,           6
   66,          1350,            1291,             10,       355,         179,          2,      1158,         353,          4,       2145,         1291,           6
   67,          1363,            1303,             10,       391,         267,          2,      1179,         361,          3,       2211,         1303,           6
   68,          1408,            1347,             14,       347,         209,          2,      1205,         372,          5,       2278,         1347,           6
   69,          1430,            1368,             10,       349,         241,          3,      1229,         379,          5,       2346,         1368,           7
   70,          1499,            1436,             11,       418,         224,          3,      1269,         385,          4,       2415,         1436,           7
   71,          1529,            1465,             11,       410,         235,          3,      1291,         393,          5,       2485,         1465,           8
   72,          1540,            1475,             11,       416,         282,          3,      1326,         398,          6,       2556,         1475,           7
   73,          1587,            1521,             12,       405,         234,          3,      1354,         409,          3,       2628,         1521,           8
   74,          1630,            1563,             13,       401,         268,          3,      1380,         413,          5,       2701,         1563,           8
   75,          1699,            1631,             13,       464,         257,          3,      1408,         423,          5,       2775,         1631,           8
   76,          1760,            1691,             13,       390,         216,          3,      1448,         433,          6,       2850,         1691,           8
   77,          1806,            1736,             13,       392,         237,          3,      1460,         441,          5,       2926,         1736,           7
   78,          1810,            1739,             18,       494,         277,          3,      1482,         450,          5,       3003,         1739,           8
   79,          1837,            1765,             14,       412,         282,          3,      1496,         457,          5,       3081,         1765,           8
   80,          1879,            1806,             14,       419,         286,          3,      1543,         463,          6,       3160,         1806,           8
   81,          1907,            1833,             15,       442,         298,          3,      1574,         470,          5,       3240,         1833,           9
   82,          1933,            1858,             14,       500,         340,          3,      1588,         479,          6,       3321,         1858,           9
   83,          1936,            1860,             15,       561,         445,          3,      1597,         488,          6,       3403,         1860,           9
   84,          1980,            1903,             15,       511,         341,          3,      1654,         499,          6,       3486,         1903,          12
   85,          2050,            1972,             15,       511,         321,          3,      1680,         505,          6,       3570,         1972,           9
   86,          2053,            1974,             15,       585,         405,          3,      1685,         509,          5,       3655,         1974,          10
   87,          2089,            2009,             18,       500,         351,          3,      1719,         523,         10,       3741,         2009,          12
   88,          2129,            2048,             16,       514,         319,          5,      1753,         526,         14,       3828,         2048,          11
   89,          2191,            2109,             16,       521,         323,          4,      1783,         533,          7,       3916,         2109,          12
   90,          2270,            2187,             17,       685,         345,          6,      1811,         541,         11,       4005,         2187,          12
   91,          2323,            2239,             19,       476,         298,          5,      1843,         553,          9,       4095,         2239,          12
   92,          2333,            2248,             18,       550,         369,          4,      1857,         554,         12,       4186,         2248,          13
   93,          2400,            2314,             23,       521,         288,          4,      1888,         565,          8,       4278,         2314,          13
   94,          2425,            2338,             19,       541,         322,          4,      1902,         574,          8,       4371,         2338,          13
   95,          2454,            2366,             18,       541,         327,          4,      1933,         582,          6,       4465,         2366,          13
   96,          2542,            2453,             19,       658,         411,          4,      1975,         595,          7,       4560,         2453,          13
   97,          2630,            2540,             20,       655,         336,          4,      1992,         601,          7,       4656,         2540,          13
   98,          2695,            2604,             20,       581,         296,          4,      2016,         607,          7,       4753,         2604,          13
   99,          2710,            2618,             20,       591,         390,          4,      2022,         611,          7,       4851,         2618,          14
  100,          2797,            2704,             22,       583,         323,          4,      2060,         622,          8,       4950,         2704,          15
  101,          2811,            2717,             21,       648,         411,          4,      2076,         624,          7,       5050,         2717,          15
  102,          2870,            2775,             21,       581,         348,          4,      2078,         632,          7,       5151,         2775,          14
  103,          2904,            2808,             22,       605,         420,          4,      2108,         641,          7,       5253,         2808,          15
  104,          2979,            2882,             22,       633,         408,          4,      2141,         641,          9,       5356,         2882,          14
  105,          3083,            2985,             23,       719,         407,          5,      2157,         646,          9,       5460,         2985,          15
  106,          3110,            3011,             24,       714,         473,          4,      2166,         657,         10,       5565,         3011,          16
  107,          3199,            3099,             24,       730,         371,          7,      2196,         663,          8,       5671,         3099,          17
  108,          3238,            3137,             25,       662,         412,          4,      2207,         668,          9,       5778,         3137,          16
  109,          3333,            3231,             25,       748,         432,          4,      2222,         679,          8,       5886,         3231,          16
  110,          3372,            3269,             25,       664,         423,          4,      2238,         680,          8,       5995,         3269,          16
  111,          3457,            3353,             26,       659,         358,          4,      2256,         690,         10,       6105,         3353,          18
  112,          3568,            3464,             26,       775,         404,          5,      2301,         697,          9,       6216,         3464,          18
  113,          3603,            3498,             27,       792,         479,          5,      2319,         705,          8,       6328,         3498,          18
  114,          3626,            3520,             27,       798,         509,          5,      2326,         706,          9,       6441,         3520,          18
  115,          3738,            3631,             73,       807,         471,          5,      2353,         716,          9,       6555,         3631,          19
