   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              1,         0,           0,          1,         1,           0,          0,          0,            0,           1
   1,             0,               0,              0,         0,           0,          0,         1,           0,          0,          0,            0,           0
   2,             1,               0,              0,         1,           2,          8,         4,           0,          0,          1,            0,           0
   3,             3,               1,              5,         2,           2,          0,        15,           4,         11,          3,            1,           3
   4,             4,               1,              0,         5,           6,          7,        21,           4,          1,          6,            1,           0
   5,             8,               4,              0,         6,           4,          6,        37,           9,          1,         10,            4,           0
   6,            11,               6,              0,         8,           8,          0,        52,          13,          1,         15,            6,           0
   7,            16,              10,              0,        13,          10,          0,        59,          17,          1,         21,           10,           0
   8,            20,              13,              0,        13,          12,          0,        67,          16,          1,         28,           13,           0
   9,            26,              18,              0,        19,          17,          0,        84,          22,          1,         36,           18,           0
  10,            28,              19,              0,        24,          24,          0,       106,          28,          1,         45,           19,           1
  11,            30,              20,              0,        33,          34,          1,       122,          32,          1,         55,           20,           0
  12,            33,              22,              0,        35,          36,          1,       135,          39,          1,         66,           22,           0
  13,            34,              22,              0,        47,          49,          1,       144,          41,          2,         78,           22,           0
  14,            42,              29,              0,        35,          31,          1,       158,          47,          1,         91,           29,           1
  15,            51,              37,              0,        42,          30,          1,       169,          50,          1,        105,           37,           1
  16,            62,              47,              0,        44,          28,          1,       180,          51,          3,        120,           47,           1
  17,            78,              62,              0,        54,          31,          1,       203,          57,          2,        136,           62,           1
  18,            91,              74,              0,        51,          30,          1,       220,          62,          2,        153,           74,           3
  19,            96,              78,              2,        63,          41,          3,       242,          69,          8,        171,           78,           3
  20,           110,              91,              3,        74,          36,          3,       268,          78,          8,        190,           91,           3
  21,           128,             108,              2,        86,          57,          3,       294,          83,         21,        210,          108,           3
  22,           131,             110,              2,        85,          65,          3,       312,          86,          6,        231,          110,           4
  23,           132,             110,              2,       107,          88,          3,       325,          94,         11,        253,          110,           4
  24,           154,             131,              3,        88,          40,          3,       347,         102,         11,        276,          131,           4
  25,           176,             152,              3,       104,          68,          3,       359,         105,          7,        300,          152,           5
  26,           189,             164,             46,        92,          60,          3,       374,         108,          8,        325,          164,           5
  27,           213,             187,              3,       125,          70,          4,       383,         113,          6,        351,          187,           7
  28,           235,             208,              4,       127,          64,          7,       406,         120,          7,        378,          208,           7
  29,           250,             222,              4,       113,          63,          3,       418,         124,          9,        406,          222,           7
  30,           266,             237,              5,       103,          65,          3,       430,         128,          9,        435,          237,           7
  31,           275,             245,              4,       116,          95,          4,       439,         132,          6,        465,          245,           8
  32,           286,             255,              4,       122,          96,          3,       450,         135,          6,        496,          255,           7
  33,           312,             280,              5,       133,          86,          4,       476,         142,          9,        528,          280,           9
  34,           342,             309,              5,       187,         103,          6,       507,         148,         13,        561,          309,           8
  35,           373,             339,              6,       163,          86,          4,       525,         156,          7,        595,          339,          11
  36,           385,             350,              6,       156,         100,          4,       556,         162,          8,        630,          350,          10
  37,           414,             378,              6,       160,          89,          4,       572,         171,         11,        666,          378,          11
  38,           437,             400,              6,       155,         100,          4,       596,         177,         16,        703,          400,           7
  39,           457,             419,              2,       151,         110,          3,       626,         183,          7,        741,          419,           6
  40,           482,             443,              1,       178,         105,          6,       658,         196,          5,        780,          443,           7
  41,           513,             473,              1,       208,         132,          3,       685,         202,          5,        820,          473,           7
  42,           535,             494,              1,       162,         117,          2,       702,         204,          5,        861,          494,           7
  43,           573,             531,              1,       199,         131,          3,       724,         215,          8,        903,          531,           8
  44,           580,             537,              1,       233,         151,          3,       758,         220,          5,        946,          537,           8
  45,           618,             574,              1,       212,         123,          3,       782,         226,          6,        990,          574,           9
  46,           622,             577,              1,       242,         167,          3,       790,         234,          5,       1035,          577,           9
  47,           656,             610,              1,       217,         127,          3,       811,         241,          5,       1081,          610,           9
  48,           692,             645,              1,       253,         159,          3,       837,         251,          8,       1128,          645,           9
  49,           720,             672,              1,       234,         159,          3,       853,         256,          5,       1176,          672,          10
  50,           735,             686,              1,       235,         172,          3,       873,         260,          5,       1225,          686,          10
  51,           776,             726,              1,       252,         179,          3,       898,         264,          6,       1275,          726,          11
  52,           789,             738,              1,       256,         198,          3,       902,         269,          8,       1326,          738,          12
  53,           791,             739,              1,       305,         242,          4,       912,         273,          7,       1378,          739,          11
  54,           832,             779,              1,       282,         172,          4,       932,         282,         10,       1431,          779,          11
  55,           863,             809,              1,       267,         186,          3,       947,         287,          8,       1485,          809,          12
  56,           882,             827,              2,       266,         191,          6,       985,         294,         13,       1540,          827,          20
  57,           896,             840,              2,       296,         222,          4,       997,         299,         10,       1596,          840,          15
  58,           906,             849,              1,       339,         282,          4,       999,         304,          6,       1653,          849,          14
  59,           947,             889,              2,       302,         230,          5,      1028,         309,          7,       1711,          889,          14
  60,           960,             901,              2,       307,         211,          5,      1049,         316,          9,       1770,          901,          14
  61,          1020,             961,              2,       433,         225,          5,      1055,         323,         20,       1830,          961,          16
  62,          1042,             982,              2,       379,         242,          4,      1074,         322,          9,       1891,          982,        2642
  63,          1058,             997,              2,       393,         269,         10,      1090,         333,         11,       1953,          997,          16
  64,          1060,             998,              4,       458,         337,          7,      1105,         331,          7,       2016,          998,          16
  65,          1094,            1031,              3,       379,         245,          6,      1133,         340,         11,       2080,         1031,          16
  66,          1104,            1040,              2,       416,         286,          6,      1154,         352,         12,       2145,         1040,          24
  67,          1130,            1065,              2,       402,         281,          5,      1182,         359,         11,       2211,         1065,          17
  68,          1183,            1117,              2,       406,         204,          7,      1223,         365,         11,       2278,         1117,          18
  69,          1184,            1117,              2,       474,         273,          5,      1242,         369,         10,       2346,         1117,          20
  70,          1225,            1157,              2,       392,         200,         14,      1262,         385,         16,       2415,         1157,          19
  71,          1255,            1186,              2,       393,         264,          5,      1290,         388,         13,       2485,         1186,          19
  72,          1305,            1235,              2,       429,         245,          5,      1325,         398,          8,       2556,         1235,          21
  73,          1375,            1304,              2,       486,         292,          5,      1355,         407,          9,       2628,         1304,          21
  74,          1406,            1334,              2,       409,         255,          5,      1369,         413,          9,       2701,         1334,          21
  75,          1471,            1398,              2,       435,         260,          5,      1390,         425,         10,       2775,         1398,          38
  76,          1539,            1465,              4,       428,         223,          8,      1425,         431,         20,       2850,         1465,          37
  77,          1570,            1495,              4,       401,         248,          9,      1455,         437,         17,       2926,         1495,          41
  78,          1608,            1532,              4,       460,         300,         10,      1485,         448,         22,       3003,         1532,          45
  79,          1650,            1573,              4,       421,         253,          9,      1507,         453,         18,       3081,         1573,          44
  80,          1707,            1629,              5,       528,         260,          7,      1547,         468,         11,       3160,         1629,          24
  81,          1762,            1683,              3,       537,         264,          5,      1571,         476,         13,       3240,         1683,          73
  82,          1808,            1728,              3,       449,         239,          5,      1598,         483,         11,       3321,         1728,          25
  83,          1852,            1771,              3,       501,         312,          6,      1629,         490,         11,       3403,         1771,          26
  84,          1929,            1847,              3,       530,         310,          6,      1653,         495,         11,       3486,         1847,          63
  85,          1976,            1893,              3,       481,         314,          6,      1673,         500,         13,       3570,         1893,          27
  86,          1985,            1901,              3,       507,         352,          7,      1705,         512,         10,       3655,         1901,          48
  87,          2065,            1980,              3,       546,         310,          6,      1746,         527,         12,       3741,         1980,          29
  88,          2115,            2029,              3,       574,         358,         20,      1780,         522,         16,       3828,         2029,          29
  89,          2169,            2082,              3,       511,         272,          7,      1802,         531,         12,       3916,         2082,          65
  90,          2223,            2135,              3,       542,         289,          3,      1830,         543,         13,       4005,         2135,          31
  91,          2267,            2178,              3,       581,         390,          3,      1864,         551,         16,       4095,         2178,          70
  92,          2326,            2236,              3,       613,         349,          3,      1862,         558,         29,       4186,         2236,          35
  93,          2333,            2242,              4,       585,         380,          3,      1886,         568,         13,       4278,         2242,          76
  94,          2426,            2335,              4,       719,         312,          4,      1913,         575,         14,       4371,         2335,          36
  95,          2504,            2412,              4,       595,         288,          3,      1940,         582,         13,       4465,         2412,          84
  96,          2518,            2425,              4,       707,         376,          4,      1966,         594,         15,       4560,         2425,          38
  97,          2576,            2482,              4,       574,         280,          3,      1985,         601,         14,       4656,         2482,          89
  98,          2578,            2483,              4,       667,         377,          3,      2008,         606,         15,       4753,         2483,          39
  99,          2633,            2537,              5,       722,         424,          4,      2032,         614,         14,       4851,         2537,          77
 100,          2660,            2563,              4,       631,         375,          3,      2060,         618,         15,       4950,         2563,          37
 101,          2740,            2642,              4,       710,         448,          3,      2077,         627,         14,       5050,         2642,         149
 102,          2808,            2709,              4,       621,         336,          3,      2104,         628,         75,       5151,         2709,          39
 103,          2812,            2712,              4,       700,         431,          3,      2115,         635,         20,       5253,         2712,         156
 104,          2915,            2815,              6,       873,         426,          5,      2134,         644,         25,       5356,         2815,          56
 105,          2928,            2827,              6,       839,         439,          7,      2154,         649,         22,       5460,         2827,         219
 106,          3010,            2908,              6,       675,         335,          7,      2157,         653,         17,       5565,         2908,          42
 107,          3015,            2912,              6,       761,         454,          5,      2168,         656,         19,       5671,         2912,         128
 108,          3020,            2916,              5,       864,         560,          8,      2198,         674,         19,       5778,         2916,          47
 109,          3115,            3010,              7,       689,         328,          4,      2216,         673,         17,       5886,         3010,          83
 110,          3127,            3021,              5,       798,         518,          4,      2232,         685,         17,       5995,         3021,          20
 111,          3217,            3110,              5,       725,         383,          4,      2242,         687,         17,       6105,         3110,          20
 112,          3246,            3138,              5,       790,         485,          5,      2293,         698,         16,       6216,         3138,          19
 113,          3348,            3239,              5,       843,         470,          4,      2314,         707,         15,       6328,         3239,          19
 114,          3409,            3299,              5,       734,         436,          4,      2327,         706,         22,       6441,         3299,          20
 115,          3513,            3402,             21,       805,         451,          4,      2358,         714,         15,       6555,         3402,          20
 116,          3566,            3454,              5,       732,         442,          4,      2363,         725,         16,       6670,         3454,          19
 117,          3671,            3558,              5,       832,         463,          4,      2384,         731,         16,       6786,         3558,          20
 118,          3686,            3572,              5,       841,         544,          4,      2403,         731,         14,       6903,         3572,          19
 119,          3738,            3623,              5,       709,         418,          5,      2436,         743,         15,       7021,         3623,          20
 120,          3833,            3717,              5,       803,         447,          4,      2449,         747,         17,       7140,         3717,          20
 121,          3883,            3766,              5,       772,         421,          4,      2468,         758,         15,       7260,         3766,          21
 122,          3908,            3790,              6,       836,         553,          4,      2480,         761,         16,       7381,         3790,          21
 123,          3915,            3796,              5,       919,         652,          4,      2507,         773,         23,       7503,         3796,          22
 124,          4000,            3880,              6,       817,         436,          4,      2518,         767,         17,       7626,         3880,          22
 125,          4078,            3957,              6,       804,         482,          4,      2539,         778,         18,       7750,         3957,          22
 126,          4130,            4008,              6,       781,         509,          5,      2561,         787,         17,       7875,         4008,          23
 127,          4193,            4070,              6,       837,         532,          4,      2572,         797,         17,       8001,         4070,          22
 128,          4307,            4183,              6,       866,         568,          4,      2597,         793,         18,       8128,         4183,          22
