  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              1,         0,           0,          0,         1,           0,          0,          0,            0,           0
  1,             0,               0,              0,         0,           0,          0,         1,           0,          0,          0,            0,           0
  2,             1,               1,              0,         1,           1,          0,         4,           1,          2,          1,            1,           0
  3,             2,               1,              0,         3,           4,          1,        17,           3,          2,          3,            1,           0
  4,             4,               2,              0,         4,           4,          1,        19,           6,         12,          6,            2,           1
  5,             5,               2,              0,         8,           9,          1,        33,           9,          3,         10,            2,           1
  6,            10,               6,              1,        10,           5,          1,        53,          13,          4,         15,            6,           1
  7,            13,               8,              1,        11,          10,          1,        61,          14,          4,         21,            8,           3
  8,            20,              15,              1,        20,          11,          2,        66,          20,          4,         28,           15,           1
  9,            26,              20,              1,        18,          13,          2,        86,          24,          5,         36,           20,           2
 10,            34,              27,              2,        22,          14,          2,        99,          28,          6,         45,           27,           2
 11,            40,              32,              2,        24,          15,          2,       120,          33,          7,         55,           32,           3
 12,            44,              35,              2,        27,          23,          2,       142,          37,          7,         66,           35,           3
 13,            55,              45,              2,        38,          28,          3,       154,          41,          8,         78,           45,           3
 14,            59,              48,              2,        39,          31,          5,       155,          43,          8,         91,           48,           4
 15,            67,              55,              3,        38,          29,          3,       167,          47,          8,        105,           55,           4
 16,            70,              57,              4,        49,          41,          3,       177,          53,          9,        120,           57,           5
 17,            83,              69,              3,        61,          51,          4,       199,          60,         13,        136,           69,           5
 18,            92,              77,              3,        55,          37,          4,       225,          65,         11,        153,           77,           7
 19,            95,              79,              3,        59,          48,          4,       242,          69,         11,        171,           79,           6
 20,           114,              98,              5,        83,          46,          4,       260,          77,         11,        190,           98,           7
 21,           133,             116,              5,        95,          52,          5,       284,          81,         12,        210,          116,           8
 22,           154,             136,              5,       108,          67,          5,       301,          88,         15,        231,          136,           9
 23,           168,             149,              6,        79,          46,          4,       331,          94,         13,        253,          149,          10
 24,           182,             162,              7,        97,          62,          9,       356,          98,         14,        276,          162,          10
 25,           198,             177,              7,        87,          49,          5,       371,         103,         14,        300,          177,          11
 26,           211,             189,             31,        93,          68,          5,       368,         107,         40,        325,          189,          14
 27,           235,             212,              8,       107,          67,          8,       389,         113,         16,        351,          212,          13
 28,           241,             217,              8,       113,          66,          5,       396,         114,         17,        378,          217,          14
 29,           248,             223,             10,       118,          69,          7,       407,         121,         16,        406,          223,          15
 30,           255,             229,              9,       137,          90,          7,       428,         124,         17,        435,          229,          15
 31,           268,             241,              9,       115,          80,         25,       434,         131,         18,        465,          241,          17
 32,           280,             252,             11,       138,          86,          6,       454,         135,         16,        496,          252,          17
 33,           293,             264,             10,       149,         102,          6,       477,         143,         16,        528,          264,          19
 34,           321,             291,             11,       146,          98,          7,       506,         153,         18,        561,          291,          20
 35,           329,             298,             11,       165,         113,          7,       528,         155,         20,        595,          298,          22
 36,           357,             325,             13,       154,         101,          8,       561,         168,         19,        630,          325,          23
 37,           386,             353,             13,       185,         102,          8,       590,         174,         32,        666,          353,          23
 38,           415,             381,             15,       169,          89,          7,       594,         175,         21,        703,          381,          25
 39,           419,             384,             14,       187,         135,          8,       616,         184,         21,        741,          384,          26
 40,           458,             423,             16,       219,         144,          8,       636,         194,         24,        780,          423,          28
 41,           486,             450,             18,       186,         124,          8,       661,         199,         25,        820,          450,          28
 42,           508,             471,             17,       184,         127,          9,       689,         204,         26,        861,          471,          31
 43,           538,             500,             19,       194,         104,          8,       718,         213,         26,        903,          500,          32
 44,           544,             505,             19,       248,         147,          9,       732,         218,         27,        946,          505,          34
 45,           558,             518,             20,       195,         125,          8,       746,         227,         24,        990,          518,          35
 46,           580,             539,             21,       199,         131,          9,       800,         237,         24,       1035,          539,          36
 47,           610,             568,             21,       207,         132,         11,       829,         239,         26,       1081,          568,          38
 48,           635,             592,             22,       213,         138,         12,       843,         246,         32,       1128,          592,          40
 49,           677,             633,             23,       255,         148,          3,       859,         253,         20,       1176,          633,          41
 50,           716,             671,             25,       233,         154,          3,       890,         259,         21,       1225,          671,          43
 51,           726,             680,             26,       242,         171,          3,       907,         263,         23,       1275,          680,          45
 52,           729,             682,             26,       283,         218,          4,       900,         266,         21,       1326,          682,          46
 53,           748,             700,             26,       262,         186,          3,       916,         273,         21,       1378,          700,          47
 54,           800,             751,             28,       338,         225,          4,       934,         282,          8,       1431,          751,          50
 55,           848,             798,             32,       274,         141,          3,       963,         284,          6,       1485,          798,         197
 56,           884,             833,             32,       287,         160,          4,       970,         289,          7,       1540,          833,          54
 57,           908,             856,             32,       270,         152,          3,       983,         294,          7,       1596,          856,          55
 58,           949,             896,             34,       294,         169,          4,       999,         301,          9,       1653,          896,          57
 59,          1007,             953,             35,       384,         147,          4,      1020,         307,          7,       1711,          953,          59
 60,          1018,             963,             36,       381,         189,          4,      1041,         310,          7,       1770,          963,          61
 61,          1067,            1011,             62,       376,         193,          5,      1054,         318,          8,       1830,         1011,          64
 62,          1098,            1041,             38,       290,         183,          4,      1067,         323,          6,       1891,         1041,        2655
 63,          1105,            1047,             55,       347,         255,          8,      1079,         331,         17,       1953,         1047,          96
 64,          1129,            1070,             55,       337,         243,         10,      1107,         334,         13,       2016,         1070,         105
 65,          1139,            1079,             59,       355,         263,          8,      1132,         341,         16,       2080,         1079,         117
 66,          1190,            1129,             66,       393,         264,          8,      1159,         353,         18,       2145,         1129,         114
 67,          1252,            1190,             65,       372,         171,          8,      1191,         360,         17,       2211,         1190,         119
 68,          1318,            1255,             70,       544,         252,         10,      1223,         370,         17,       2278,         1255,         121
 69,          1382,            1318,             76,       389,         200,          8,      1252,         377,         24,       2346,         1318,         122
 70,          1448,            1383,             72,       573,         319,          7,      1261,         384,         10,       2415,         1383,          95
 71,          1502,            1436,             53,       376,         173,          6,      1286,         389,         14,       2485,         1436,         358
 72,          1503,            1436,             55,       447,         245,         10,      1327,         403,         11,       2556,         1436,          89
 73,          1571,            1503,             58,       412,         215,          5,      1358,         413,         14,       2628,         1503,          91
 74,          1616,            1547,             58,       375,         240,          5,      1387,         417,         10,       2701,         1547,          94
 75,          1682,            1612,             61,       418,         207,          5,      1412,         426,         19,       2775,         1612,         302
 76,          1706,            1635,             82,       426,         254,          9,      1430,         430,         20,       2850,         1635,         136
 77,          1710,            1638,             84,       467,         336,         10,      1450,         436,         19,       2926,         1638,         156
 78,          1746,            1673,             88,       461,         297,         10,      1462,         448,         18,       3003,         1673,         159
 79,          1814,            1740,            109,       461,         279,          9,      1510,         455,         20,       3081,         1740,         160
 80,          1819,            1744,             95,       543,         324,         11,      1520,         463,         20,       3160,         1744,         182
 81,          1859,            1783,             99,       537,         388,         12,      1546,         473,         21,       3240,         1783,         188
 82,          1882,            1805,             99,       476,         334,         13,      1579,         481,         21,       3321,         1805,         155
 83,          1933,            1855,             81,       415,         264,         11,      1613,         487,         15,       3403,         1855,         120
 84,          1938,            1859,            288,       518,         372,          6,      1637,         495,         18,       3486,         1859,         122
 85,          1983,            1903,             71,       460,         312,          7,      1672,         500,         11,       3570,         1903,         131
 86,          2010,            1929,             75,       492,         327,          6,      1695,         512,         13,       3655,         1929,         134
 87,          2055,            1973,             77,       504,         332,          6,      1724,         521,         27,       3741,         1973,         140
 88,          2094,            2011,             79,       557,         373,          7,      1739,         524,         12,       3828,         2011,          51
 89,          2130,            2046,             74,       590,         423,          6,      1767,         531,         12,       3916,         2046,          47
 90,          2185,            2100,             76,       542,         326,          6,      1773,         547,         11,       4005,         2100,          35
 91,          2198,            2112,             76,       570,         417,          7,      1818,         552,         19,       4095,         2112,          34
 92,          2212,            2125,            181,       581,         428,         37,      1872,         559,         28,       4186,         2125,          55
 93,          2255,            2167,            112,       548,         353,          5,      1899,         571,         25,       4278,         2167,          58
 94,          2295,            2206,            116,       575,         377,          5,      1942,         575,         23,       4371,         2206,          60
 95,          2303,            2213,            131,       628,         469,          6,      1955,         579,         71,       4465,         2213,          50
 96,          2379,            2288,            118,       589,         376,        137,      1976,         591,         25,       4560,         2288,          69
 97,          2421,            2329,            124,       556,         347,          6,      1994,         596,         27,       4656,         2329,          67
 98,          2517,            2424,            132,       704,         409,          6,      2028,         606,         25,       4753,         2424,          74
 99,          2602,            2508,            138,       672,         359,          6,      2033,         609,         25,       4851,         2508,          68
100,          2664,            2569,            140,       603,         416,          6,      2076,         621,         27,       4950,         2569,          72
