 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 0,             0,               0,              1,         0,           0,          0,         1,           0,          0,          0,            0,           0
 1,             0,               0,              0,         0,           0,          0,         1,           0,          0,          0,            0,           0
 2,             1,               0,              0,         1,           2,          1,         4,           0,          1,          1,            0,           0
 3,             2,               0,              0,         3,           5,          1,        15,           3,          2,          3,            0,           0
 4,             4,               1,              1,         4,           5,          1,        19,           5,          3,          6,            1,           1
 5,             8,               5,              1,        10,           5,          2,        36,           9,          4,         10,            5,           1
 6,            13,               9,              2,         9,           5,          2,        53,          12,          5,         15,            9,           2
 7,            15,              10,              2,        12,          10,          2,        59,          15,          5,         21,           10,           3
 8,            17,              11,              2,        18,          17,          2,        64,          17,         12,         28,           11,           2
 9,            20,              13,              1,        20,          19,          2,        79,          23,          6,         36,           13,           2
10,            21,              13,              1,        27,          26,          4,       100,          27,          6,         45,           13,           2
